,Batt Black Red White Date:hh
2021-01-05 06:54,2.317
2021-01-05 07:24,2.317
2021-01-05 07:54,2.317
2021-01-05 08:24,2.317
2021-01-05 08:54,2.317
2021-01-05 09:25,2.317
2021-01-05 09:55,2.322
2021-01-05 10:25,2.322
2021-01-05 10:55,2.312
2021-01-05 11:25,2.322
2021-01-05 12:25,2.327
2021-01-05 12:55,2.327
2021-01-05 13:25,2.327
2021-01-05 13:55,2.327
2021-01-05 14:25,2.327
2021-01-05 14:55,2.327
2021-01-05 15:25,2.327
2021-01-05 15:55,2.327
2021-01-05 16:25,2.327
2021-01-05 16:55,2.322
2021-01-05 17:55,2.322
2021-01-05 18:25,2.322
2021-01-05 18:55,2.322
2021-01-05 19:25,2.322
2021-01-05 19:55,2.322
2021-01-05 20:25,2.322
2021-01-05 20:55,2.317
2021-01-05 21:25,2.322
2021-01-05 22:25,2.317
2021-01-05 23:25,2.322
2021-01-05 23:55,2.322
2021-01-06 00:25,2.322
2021-01-06 00:56,2.322
2021-01-06 01:26,2.322
2021-01-06 01:56,2.322
2021-01-06 02:56,2.322
2021-01-06 04:26,2.322
2021-01-06 04:56,2.322
2021-01-06 05:26,2.322
2021-01-06 05:56,2.322
