, { mlatitude: 51.4213 , mlongitude: -0.8252 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007c3d , rssi: -116 , snr: -16.8 , }
, { mlatitude: 51.4213 , mlongitude: -0.8252 , time: 2021-02-02T11:04:27.708726Z , data_rate: SF12BW125 , gtw_id: eui-008000000000b200 , rssi: -118 , snr: -5.8 , }
, { mlatitude: 51.4302 , mlongitude: -0.7987 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007b7e , rssi: -117 , snr: -6 , }
, { mlatitude: 51.434 , mlongitude: -0.7684 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007c3f , rssi: -116 , snr: -15.5 , }
, { mlatitude: 51.4287 , mlongitude: -0.7404 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007b83 , rssi: -117 , snr: -14.5 , }
, { mlatitude: 51.4287 , mlongitude: -0.7404 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007b83 , rssi: -119 , snr: -10.2 , }
, { mlatitude: 51.4257 , mlongitude: -0.732 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007b83 , rssi: -120 , snr: -14.5 , }
, { mlatitude: 51.4257 , mlongitude: -0.732 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe0075fb , rssi: -122 , snr: -14 , }
, { mlatitude: 51.4256 , mlongitude: -0.732 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007b83 , rssi: -117 , snr: -9.8 , }
, { mlatitude: 51.4257 , mlongitude: -0.732 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007b83 , rssi: -119 , snr: -16.5 , }
, { mlatitude: 51.4278 , mlongitude: -0.767 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe006be4 , rssi: -117 , snr: -6.5 , }
, { mlatitude: 51.4315 , mlongitude: -0.7899 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007b83 , rssi: -119 , snr: -13 , }
, { mlatitude: 51.4266 , mlongitude: -0.8241 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007c3d , rssi: -113 , snr: -13.2 , }
, { mlatitude: 51.4178 , mlongitude: -0.8327 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007b9d , rssi: -114 , snr: -16.2 , }
, { mlatitude: 51.4179 , mlongitude: -0.8326 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007b9d , rssi: -119 , snr: -18 , }
, { mlatitude: 51.4179 , mlongitude: -0.8326 , time: 2021-02-02T12:07:36.50276Z , data_rate: SF12BW125 , gtw_id: eui-008000000000b200 , rssi: -77 , snr: 6.8 , }
, { mlatitude: 51.4179 , mlongitude: -0.8327 , time: 2021-02-02T12:14:06.511492Z , data_rate: SF12BW125 , gtw_id: eui-008000000000b200 , rssi: -79 , snr: 7.5 , }
, { mlatitude: 51.4179 , mlongitude: -0.8327 , time: 2021-02-02T12:17:23.672528Z , data_rate: SF12BW125 , gtw_id: eui-008000000000b200 , rssi: -87 , snr: 8.8 , }
, { mlatitude: 51.4179 , mlongitude: -0.8327 , time: 2021-02-02T12:20:46.555012Z , data_rate: SF12BW125 , gtw_id: eui-008000000000b200 , rssi: -74 , snr: -5.5 , }
, { mlatitude: 51.4178 , mlongitude: -0.8327 , time: 2021-02-02T12:30:20.857291Z , data_rate: SF12BW125 , gtw_id: eui-008000000000b200 , rssi: -87 , snr: 7 , }
, { mlatitude: 51.4179 , mlongitude: -0.8329 , time: 2021-02-02T12:40:41.845812Z , data_rate: SF12BW125 , gtw_id: eui-008000000000b200 , rssi: -73 , snr: 7.5 , }
, { mlatitude: 51.4238 , mlongitude: -0.8199 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007ba8 , rssi: -117 , snr: -5.8 , }
, { mlatitude: 51.4205 , mlongitude: -0.813 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007ba8 , rssi: -121 , snr: -12.5 , }
, { mlatitude: 51.4193 , mlongitude: -0.8116 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe006be4 , rssi: -121 , snr: -13.2 , }
, { mlatitude: 51.4221 , mlongitude: -0.8171 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe007c3d , rssi: -117 , snr: -17.5 , }
, { mlatitude: 51.4203 , mlongitude: -0.823 , time: 2021-02-02T13:48:01.313725Z , data_rate: SF12BW125 , gtw_id: eui-008000000000b200 , rssi: -115 , snr: -14.2 , }
, { mlatitude: 51.4203 , mlongitude: -0.823 , time: 2021-02-02T13:48:07.361472Z , data_rate: SF12BW125 , gtw_id: eui-008000000000b200 , rssi: -120 , snr: -14 , }
, { mlatitude: 51.4184 , mlongitude: -0.8303 , time:  , data_rate: SF12BW125 , gtw_id: eui-647fdafffe006be4 , rssi: -115 , snr: -16.8 , }
, { mlatitude: 51.4178 , mlongitude: -0.8327 , time: 2021-02-02T13:54:41.689289Z , data_rate: SF12BW125 , gtw_id: eui-008000000000b200 , rssi: -54 , snr: 7 , }
, { mlatitude: 51.418 , mlongitude: -0.8329 , time: 2021-02-02T13:58:16.272654Z , data_rate: SF12BW125 , gtw_id: eui-008000000000b200 , rssi: -69 , snr: 6.8 , }
